Timestamp, power, temperature, voltage
221,0.0001197,18.95,4.0051
222,0.0001197,18.95,4.0242
223,0.0001197,18.95,4.041
224,0.0001197,18.95,4.0548
225,0.0001197,18.95,4.0664
226,0.0001197,18.95,4.0761
227,0.0001197,18.95,4.0843
228,0.0001197,18.95,4.0912
229,0.0001197,18.95,4.0969
230,0.0001197,18.95,4.1018
231,0.0001197,18.95,4.1059
232,0.0001197,18.95,4.1093
233,0.0001197,18.95,4.1122
234,0.0001197,18.95,4.1147
235,0.0001197,18.95,4.1168
236,0.0001197,18.95,4.1185
237,0.0001197,18.95,4.1201
238,0.0001197,18.95,4.1213
239,0.0001197,18.95,4.1225
240,0.0001197,18.95,4.1234
241,0.0001197,18.95,4.1242
242,0.0001197,18.95,4.1249
243,0.0001197,18.95,4.1256
244,0.0001197,18.95,4.1261
245,0.0001197,18.95,4.1266
246,0.0001197,18.95,4.127
247,0.0001197,18.95,4.1274
248,0.0001197,18.95,4.1277
249,0.0001197,18.95,4.128
250,4.83,18.95,4.1283
251,4.83,18.95,4.1039
252,4.83,18.95,4.0851
253,4.83,18.95,4.0685
254,4.83,18.95,4.0548
255,4.83,18.95,4.0431
256,4.83,18.95,4.0332
257,4.83,18.95,4.0247
258,4.83,18.95,4.0176
259,4.83,18.95,4.0115
260,4.83,18.95,4.0063
261,4.83,18.95,4.0018
262,4.83,18.95,3.998
263,4.83,18.95,3.9947
264,4.83,18.95,3.9919
265,4.83,18.95,3.9894
266,4.83,18.95,3.9873
267,4.83,18.95,3.9854
268,4.83,18.95,3.9838
269,4.83,18.95,3.9823
270,4.83,18.95,3.981
271,4.83,18.95,3.9799
272,4.83,18.95,3.9788
273,4.83,18.95,3.9779
274,4.83,18.95,3.977
275,4.83,18.95,3.9762
276,4.83,18.95,3.9755
277,4.83,18.95,3.9748
278,4.83,18.95,3.9742
279,4.83,18.95,3.9735
280,4.83,18.95,3.973
281,4.83,18.95,3.9724
282,4.83,18.95,3.9719
283,4.83,18.95,3.9714
284,4.83,18.95,3.9709
285,1.79,18.95,3.9704
286,1.79,18.95,3.986
287,1.79,18.95,3.9978
288,1.79,18.95,4.0082
289,1.79,18.95,4.0167
290,1.79,18.95,4.0239
291,1.79,18.95,4.0298
292,1.79,18.95,4.0348
293,1.79,18.95,4.039
294,1.79,18.95,4.0425
295,1.79,18.95,4.0454
296,1.79,18.95,4.0478
297,1.79,18.95,4.0498
298,1.79,18.95,4.0514
299,1.79,18.95,4.0528
300,1.79,18.95,4.054
